YBR277C,YBR277C,TFIID-dominated
YBR278W,DPB3,TFIID-dominated
YBR279W,PAF1,TFIID-dominated
YBR280C,SAF1,TFIID-dominated
YBR281C,DUG2,TFIID-dominated
YBR282W,MRPL27,TFIID-dominated
YBR283C,SSH1,TFIID-dominated
YBR284W,YBR284W,TFIID-dominated
YBR285W,YBR285W,no_call
YBR286W,APE3,SAGA-dominated
YBR287W,YBR287W,SAGA-dominated
YBR288C,APM3,TFIID-dominated
YBR289W,SNF5,TFIID-dominated
YBR290W,BSD2,TFIID-dominated
YBR291C,CTP1,TFIID-dominated
YBR292C,YBR292C,no_call
YBR293W,VBA2,TFIID-dominated
YBR294W,SUL1,TFIID-dominated
YBR295W,PCA1,TFIID-dominated
YBR296C,PHO89,no_call
YBR297W,MAL33,no_call
YBR298C,MAL31,TFIID-dominated
YBR299W,MAL32,no_call
YBR300C,YBR300C,no_call
YBR301W,PAU24,SAGA/TFIID
YBR302C,COS2,TFIID-dominated
YCL001W,RER1,TFIID-dominated
YCL002C,YCL002C,no_call
YCL004W,PGS1,TFIID-dominated
YCL005W,LDB16,TFIID-dominated
YCL007C,YCL007C,TFIID-dominated
YCL008C,STP22,TFIID-dominated
YCL009C,ILV6,TFIID-dominated
YCL010C,SGF29,TFIID-dominated
YCL011C,GBP2,TFIID-dominated
YCL014W,BUD3,TFIID-dominated
YCL016C,DCC1,TFIID-dominated
YCL017C,NFS1,TFIID-dominated
YCL018W,LEU2,TFIID-dominated
YCL019W,YCL019W,SAGA-dominated
YCL020W,YCL020W,SAGA-dominated
YCL022C,YCL022C,TFIID-dominated
YCL023C,YCL023C,no_call
YCL024W,KCC4,TFIID-dominated
YCL025C,AGP1,SAGA-dominated
YCL027W,FUS1,SAGA-dominated
YCL028W,RNQ1,TFIID-dominated
YCL029C,BIK1,TFIID-dominated
YCL030C,HIS4,SAGA-dominated
YCL031C,RRP7,TFIID-dominated
YCL032W,STE50,TFIID-dominated
YCL033C,MXR2,TFIID-dominated
YCL034W,LSB5,TFIID-dominated
YCL035C,GRX1,SAGA-dominated
YCL036W,GFD2,TFIID-dominated
YCL037C,SRO9,TFIID-dominated
YCL038C,ATG22,TFIID-dominated
YCL039W,GID7,no_call
YCL040W,GLK1,SAGA-dominated
YCL041C,YCL041C,no_call
YCL042W,YCL042W,SAGA-dominated
YCL043C,PDI1,TFIID-dominated
YCL044C,MGR1,TFIID-dominated
YCL045C,EMC1,TFIID-dominated
YCL046W,YCL046W,TFIID-dominated
YCL047C,POF1,TFIID-dominated
YCL048W,SPS22,no_call
YCL049C,YCL049C,TFIID-dominated
YCL050C,APA1,TFIID-dominated
YCL051W,LRE1,TFIID-dominated
YCL052C,PBN1,TFIID-dominated
YCL054W,SPB1,TFIID-dominated
YCL055W,KAR4,SAGA-dominated
YCL056C,PEX34,TFIID-dominated
YCL057W,PRD1,TFIID-dominated
YCL058C,FYV5,TFIID-dominated
YCL059C,KRR1,TFIID-dominated
YCL061C,MRC1,TFIID-dominated
YCL063W,VAC17,TFIID-dominated
YCL064C,CHA1,TFIID-dominated
YCL065W,YCL065W,TFIID-dominated
YCL066W,HMLALPHA1,TFIID-dominated
YCL067C,HMLALPHA2,SAGA-dominated
YCL068C,YCL068C,TFIID-dominated
YCL069W,VBA3,TFIID-dominated
YCL073C,GEX1,SAGA/TFIID
YCL076W,YCL076W,no_call
YCR001W,YCR001W,no_call
YCR002C,CDC10,TFIID-dominated
YCR003W,MRPL32,TFIID-dominated
YCR004C,YCP4,TFIID-dominated
YCR005C,CIT2,SAGA-dominated
YCR006C,YCR006C,SAGA/TFIID
YCR007C,YCR007C,TFIID-dominated
YCR008W,SAT4,TFIID-dominated
YCR009C,RVS161,TFIID-dominated
YCR010C,ADY2,TFIID-dominated
YCR011C,ADP1,TFIID-dominated
YCR012W,PGK1,SAGA-dominated
YCR013C,YCR013C,SAGA-dominated
YCR014C,POL4,TFIID-dominated
YCR015C,YCR015C,TFIID-dominated
YCR016W,YCR016W,TFIID-dominated
YCR017C,CWH43,no_call
YCR018C,SRD1,no_call
YCR019W,MAK32,no_call
YCR020C,PET18,TFIID-dominated
YCR020C-A,MAK31,TFIID-dominated
YCR021C,HSP30,SAGA-dominated
YCR022C,YCR022C,no_call
YCR023C,YCR023C,TFIID-dominated
YCR024C,SLM5,TFIID-dominated
YCR024C-A,PMP1,SAGA-dominated
YCR025C,YCR025C,TFIID-dominated
YCR026C,NPP1,TFIID-dominated
YCR027C,RHB1,TFIID-dominated
YCR028C,FEN2,TFIID-dominated
YCR030C,SYP1,no_call
YCR031C,RPS14A,TFIID-dominated
YCR032W,BPH1,TFIID-dominated
YCR033W,SNT1,TFIID-dominated
YCR034W,FEN1,TFIID-dominated
YCR035C,RRP43,TFIID-dominated
YCR036W,RBK1,TFIID-dominated
YCR037C,PHO87,TFIID-dominated
YCR038C,BUD5,TFIID-dominated
YCR039C,MATALPHA2,SAGA-dominated
YCR040W,MATALPHA1,TFIID-dominated
YCR041W,YCR041W,TFIID-dominated
YCR042C,TAF2,TFIID-dominated
YCR043C,YCR043C,TFIID-dominated
YCR044C,PER1,TFIID-dominated
YCR045C,RRT12,TFIID-dominated
YCR046C,IMG1,TFIID-dominated
YCR047C,BUD23,TFIID-dominated
YCR048W,ARE1,TFIID-dominated
YCR049C,YCR049C,TFIID-dominated
YCR050C,YCR050C,TFIID-dominated
YCR051W,YCR051W,TFIID-dominated
YCR052W,RSC6,TFIID-dominated
YCR053W,THR4,no_call
YCR054C,CTR86,TFIID-dominated
YCR057C,PWP2,TFIID-dominated
YCR059C,YIH1,TFIID-dominated
YCR060W,TAH1,TFIID-dominated
YCR061W,YCR061W,TFIID-dominated
YCR063W,BUD31,TFIID-dominated
YCR064C,YCR064C,TFIID-dominated
YCR065W,HCM1,TFIID-dominated
YCR066W,RAD18,TFIID-dominated
