id, area
YLR095C,23257.8306373
YLR096W,22877.7800159
YLR097C,15823.8984
YLR098C,13318.6093373
YLR099C,31096.5683731
YLR099W-A,29696.0720628
YLR100W,27970.1215093
YLR101C,7211.35991379
YLR102C,3193.67142857
YLR103C,10983.4797619
YLR104W,10749.05625
YLR105C,8885.82857143
YLR106C,9856.65
YLR107W,5900.58134328
YLR108C,28902.3223132
YLR109W,29047.1094098
YLR110C,36632.5616337
YLR111W,31456.9869345
YLR112W,36826.2206407
YLR113W,27053.3496236
YLR114C,25423.666752
YLR115W,23291.9010932
YLR116W,10779.5258523
YLR117C,10739.0596154
YLR118C,3554.49
YLR119W,5582.86363636
YLR120C,37964.3031949
YLR120W-A,38632.5714982
YLR121C,25768.0392359
YLR122C,8838.29900662
YLR123C,8448.18243243
YLR124W,9597.79508671
YLR125W,9366.2925
YLR126C,20233.4707521
YLR127C,6852.2205
YLR128W,4299.85909091
YLR129W,13408.353125
YLR130C,19984.7488498
YLR131C,10778.79
YLR132C,22418.8281925
YLR133W,22581.9818713
YLR134W,21417.112782
YLR135W,2483.00892857
YLR136C,31838.1783496
YLR137W,29510.2774164
YLR138W,26428.4642773
YLR139C,22721.8267267
YLR140W,6019.28315217
YLR141W,8121.30444444
YLR142W,25615.4206652
YLR143W,8836.5369863
YLR144C,4742.445
YLR145W,5893.6109589
YLR146C,5266.46142857
YLR146W-A,8207.90294118
YLR147C,3962.609375
YLR148W,5331.10909091
YLR149C,17696.2862989
YLR149C-A,7038.57772277
YLR150W,17734.966875
YLR151C,5427.57089552
YLR152C,25047.4306507
YLR153C,24175.3954545
