Gene_name,WT_control_value,WT_log2_ratio,WT_Input_control_value,WT_Input_log2_ratio,Taf1_Input_control_value,Taf1_Input_log2_ratio,Taf1_control_value,Taf1_log2_ratio,Taf2_control_value,Taf2_log2_ratio,Taf7_control_value,Taf7_log2_ratio,Taf11_control_value,Taf11_log2_ratio,Taf13_control_value,Taf13_log2_ratio,Med14_control_value,Med14_log2_ratio,WT_minus_SM_control_value,WT_minus_SM_log2_ratio,WT_SM_control_value,WT_SM_log2_ratio,Taf1_SM_control_value,Taf1_SM_log2_ratio
YNL155W,0.8939015352,-0.3187404631,0.5123869957,-0.5286339245,0.8840203567,0.1192479098,0.6678879795,-1.3143436903,0.7938371356,-0.6218280944,0.4994075534,-1.6061301586,0.5390019703,-1.3068994716,0.3284615611,-1.4883501589,1.1939530057,-2.9005149103,0.6107540588,-0.6275830504,1.190697517,-0.0764344739,0.6053081532,-0.7505763879
YLR086W,0.3184950536,0.7900614942,0.4667120304,-0.601862526,0.7889012443,0.0056708123,0.6739398374,-2.2332877903,0.7191904924,-1.3397540314,0.321237918,-1.123492963,0.3446758437,-1.4187795517,0.2866158625,-2.2216855971,0.8355929413,-3.4468521524,0.311360375,-0.743650393,0.5316302439,-0.9866507383,0.2323033097,-0.9564587409
YMR026C,1.1948310098,-0.6446703895,0.3521446959,-0.7020449165,0.606526452,0.1720931857,0.8446496247,-2.0432929562,0.6917059733,-1.2280052417,0.8290858912,-2.589298133,1.2944646671,-3.1773550001,0.5245928937,-2.7878082669,0.6730928687,-2.0443681079,0.4363323878,0.7483804021,0.7293935917,-0.8355739092,0.5818760699,-2.0952116282
YFR021W,0.4570393845,0.4483771949,0.5107828842,-0.0189690066,0.9229585591,0.2228339009,0.7576209162,-1.5754586805,0.8084723516,-1.9317709041,0.3012388918,-1.2084022119,0.4893885098,-1.6228923634,0.4273695759,-2.3929749584,0.7481284426,-2.551642344,0.8182988296,-1.1599185133,0.8428391942,-0.0099047178,0.4019479295,-0.7725958233
YOL081W,1.1392375201,-0.1553218719,0.4206993573,-0.3082662647,0.8192180929,0.0252075896,0.8823726879,-1.5098381454,1.1594205986,-1.1198982208,0.8344809371,-2.2164902259,1.215006454,-2.0374197437,0.4120986131,-1.3222705419,1.0650368068,-2.1531220434,0.9673645828,-0.6090287011,0.9929243688,-0.4028226508,0.8153259298,-0.854869016
YDR342C,1.7678423249,0.0986512898,0.595378661,-0.2042697017,0.6626126219,0.0485533074,2.3401504609,-1.2697581474,0.9968169429,1.0517640112,1.9035606849,-1.3502189693,1.2330177691,-2.7421751627,1.2911843531,-3.9666177066,4.511996571,-3.6292219358,1.3546512525,-0.4061200828,1.6133249809,-0.5506781639,0.7856684969,-0.5080463398
YIL091C,2.2161241238,0.0415705983,0.5410077226,-0.3776630551,0.7510999237,0.2415863895,2.158255844,-2.6742654458,2.7372511174,-1.2810892437,1.861069457,-2.7446416995,2.0857149891,-2.4841576993,1.0666305526,-2.135870691,3.0766697359,-2.6318649214,1.0076211667,0.2510479477,1.4855796448,-0.7631356174,1.0098626514,-1.672315309
YNR050C,1.3414774221,-0.7551563574,0.3489364728,-0.0539774423,0.5668303284,0.1156037476,0.5684318795,-1.8101248866,0.8284088902,-1.1790868848,0.7159814786,-1.7270489449,1.1473743895,-2.8905045366,0.3763395616,-2.0459079855,0.759236873,-2.4333167541,0.9090455225,0.9810041067,2.2067963472,-0.9650500305,1.0606167486,-1.5173667907
YLR330W,0.5357841067,0.1359850329,0.6889236917,-0.8616189668,0.896052356,0.3660005333,0.9727329623,-1.6959833315,0.994802484,-1.3680841179,0.3473179115,-1.2469626121,0.5936470232,-1.3368687458,0.3299288778,-1.7030585635,1.1245885556,-2.8098498609,0.497442918,-0.4939737167,0.7257724014,-0.3291596248,0.3474213278,-0.6355903743
YGL016W,0.6339425188,0.8225620225,0.3946958651,-0.3283253002,0.6169478687,0.1791242229,0.547174018,-1.8517639613,1.0359260728,-1.5310179561,0.5699922578,-2.7792393801,0.6488850915,-2.0508667363,0.3847087014,-2.6820678131,1.6300506013,-3.6186614108,0.6166358861,0.0776081454,0.8416749609,-0.2976021634,0.2728822733,-0.4900320696
YMR184W,1.033065306,-0.7978202526,0.493390938,-0.6182722577,1.0064246329,-0.0164902159,1.1028473776,-1.9182978646,0.8982896139,-1.4280916954,0.816207607,-2.0507893727,0.9176425973,-2.1837439064,0.4675849225,-1.7437239757,0.9589767522,-2.3870239834,0.8119368796,-0.7582710641,0.8945115533,-0.0605647568,0.5417218245,-0.9427483554
YIL118W,1.5935708753,-0.1342901322,0.4297330381,0.1109297213,0.7828378746,-0.1401183485,1.6474671775,-1.7981107004,2.2826800664,-1.1793357404,1.4083884813,-1.7368587059,1.746279409,-2.0475940178,0.6617598328,-1.9855764331,1.6495210508,-2.8134716852,1.4142225402,0.4684330603,2.1378746015,-0.581810938,1.5168046811,-0.6968097712
YJR013W,1.7855360432,-0.242835969,0.8132845493,-0.1801611647,0.9961926965,0.1698873612,1.260042266,-2.202698962,1.0851557951,-1.2466699405,1.4482978538,-2.7639249534,1.6128925598,-2.7849953811,0.5657864515,-2.4831690612,1.4450268935,-2.1233881586,0.5724326853,0.3516530568,1.0309412913,-0.7395350346,0.6403045548,-1.1163190471
YDR448W,1.241064886,-0.1040442922,0.527414988,-0.2441596747,0.8044386292,0.2405675696,1.0546142163,-1.8917193431,1.290611777,-1.5116416579,0.7491842796,-2.4371689009,1.3057400237,-2.5818040654,0.5539392277,-2.4837825222,1.5980186158,-3.1238978504,0.7093787969,-0.2487905726,0.8720443407,-0.5678397225,0.4824163468,-1.1580777957
YHR204W,0.5625967021,0.6697298748,0.5690374611,-0.3682014317,0.9676759108,-0.2581111872,1.6225508465,-3.1304090109,1.4051218122,-1.7045897318,0.3944861023,-1.0825942901,0.4928014017,-1.855514219,0.7086052772,-3.4398270079,1.2716800685,-3.5939883278,0.7172695301,-0.833671692,0.5193765092,0.2863037312,0.2310247782,0.0227957012
YJL074C,0.4624347234,-0.3030860752,0.4269469496,-0.3576205673,0.667065409,0.3351680576,0.3984851916,-1.4736224799,0.4586923755,-1.5035108947,0.3000803309,-1.5371459849,0.3581422001,-2.0831274375,0.2061308242,-1.8608694837,0.6588133384,-3.087901162,0.2947844517,-0.6005020843,0.3592335702,-1.3116528041,0.2201806728,-0.1583117953
YMR089C,0.3434910033,1.5075148034,0.5569644111,-0.4522440263,0.820544455,0.2084093605,0.6372008278,-1.531287315,0.7546269945,-0.8915449251,0.3474920683,-1.5518027546,0.4004917612,-0.9131138127,0.3097125143,-1.4771902785,1.4071839399,-3.7075527077,0.5855272378,-1.0452506636,0.9851213428,-0.2592326925,0.3342696318,-0.8545711079
YKL156W,6.9951709675,0.0885383742,0.4030541304,-0.1249944231,0.897283978,-0.0013151361,8.3112367568,-2.8740439265,11.8047884689,-2.0761918429,5.4211066079,-2.900183516,7.397552439,-2.3247933829,4.3663540911,-2.7233263941,8.0884349236,-3.0930279075,3.9118325777,-0.5954616456,6.2639917849,-0.1422936825,3.6667066829,-2.0760885774
YOL116W,0.4667758038,0.2683911666,0.3801744343,0.0065500606,0.7926908503,-0.0647777336,0.6978070735,-1.9572157416,0.8168701803,-1.4011331131,0.2946834368,-0.8549312032,0.5326639968,-1.2452043503,0.3472106079,-1.8685314164,0.7347220913,-2.850294045,0.6599235933,-1.3160942505,0.5655410609,-0.3100946885,0.388967167,1.05247003
YKR068C,0.8799954004,0.7870130573,0.89365898,-0.0570461576,0.8039649284,0.4578124044,1.1141726628,-1.6065536629,1.4884004755,-1.1157041042,0.9048503503,-1.7461459933,0.7556781726,-1.5932982129,0.5699710213,-2.1545620224,1.9020828415,-3.2434879454,1.1597462198,-0.0139195324,1.3667711194,-0.8698702125,0.381313356,-0.3482445688
YBL021C,0.8795806674,0.1993806527,0.6838580763,-0.8865817843,0.905431631,0.1401884549,0.9089217184,-1.7081534114,0.8812645535,-1.0416997887,0.6483442295,-1.910585892,0.9740678052,-1.9950818524,0.638663181,-2.2254538912,1.2651661408,-2.4111433546,0.4522710317,-0.3170007226,0.8147967918,-0.8152573444,0.3879344431,-0.8072390401
YJL173C,0.3516962417,0.6874588765,0.6700964879,-0.3397028092,1.0362677807,0.1334058542,0.6200317813,-1.4232424873,0.7839593373,-1.5845292396,0.2094791021,-0.2786474148,0.2758570247,-1.760574228,0.3431347281,-2.7887294507,0.7428395282,-2.7113876931,0.911521122,-0.8018018066,0.3038418541,0.6843436771,0.2262859031,-0.1073651629
YOR042W,1.3201826533,-0.2238013691,0.4629128188,-0.0168794532,0.713203863,0.0250329117,0.8570425315,-1.6280360246,0.9398088648,-0.6758780806,1.1119195731,-2.4735345174,1.4747478323,-2.8838660134,0.5589933186,-2.1925854087,1.5512325295,-2.4750944004,0.6938848551,-0.0802507091,0.9589450352,-0.4325014495,0.8027384571,-1.3564736323
YMR210W,0.6904723993,-0.0778467232,0.4158025958,-0.4562099076,0.8483033195,-0.1096148808,0.6585171371,-1.423206562,0.7789627783,-1.007187269,0.5183577835,-1.8578275668,0.6730984783,-1.5323323987,0.3192772454,-1.9151404073,1.1641770798,-2.5781689965,0.5005435238,0.3126034554,0.530478789,-0.0587130135,0.4705017827,-0.9314881774
YOR270C,2.5129998668,0.7360756324,0.3875195766,-0.7277316678,0.5920312088,-0.2149494136,4.402799041,-3.5069661727,7.6885968314,-2.8429007881,2.0020217799,-3.3455445537,2.8299161626,-2.4271689273,2.2870576336,-3.4662084789,4.3990153661,-3.1115737331,4.1830697398,-1.7084079168,3.0381340002,0.4470857165,1.4314773596,-1.832231097
